_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,ERREFORTZU/REFUERZO,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ERREFORTZUAK EGUNEAN/REFUERZOS AL DIA,ERREFORTZUAK GUZTIRA/TOTAL REFUERZOS,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
1,2025,A0651,BILBAO - BALMASEDA,1,Laborable,162,6,972,2,324,4,648
2,2025,A0651,BILBAO - BALMASEDA,2,Laborable,32,3,96,0,0,3,96
3,2025,A0651,BILBAO - BALMASEDA,3,Laborable,34,5,170,1,34,4,136
4,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,182,1,182,1,182,0,0
5,2025,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,117,1,117,1,117,0,0
6,2025,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,146,3,438,2,292,1,146
7,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,109,2,218,1,109,1,109
8,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,136,3,408,2,272,1,136
9,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Lunes a Jueves,8,1,8,1,8,0,0
10,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Laborable,10,2,20,1,10,1,10
11,2025,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,146,1,146,1,146,0,0
12,2025,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,109,6,654,3,327,3,327
13,2025,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,27,1,27,0,0,1,27
14,2025,A2318,Termibus - UPV/EHU (Autopista),2,Laborable,10,3,30,2,20,1,10
15,2025,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,109,1,109,0,0,1,109
16,2025,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,136,2,272,2,272,0,0
17,2025,A2321,Santutxu - UPV/EHU (Autopista),2,Lunes a Jueves,8,1,8,0,0,1,8
18,2025,A2321,Santutxu - UPV/EHU (Autopista),2,Laborable,10,1,10,1,10,0,0
19,2025,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,109,1,109,1,109,0,0
20,2025,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,136,2,272,2,272,0,0
21,2025,A2324,BILBAO - UPV/EHU (Enekuri),2,Laborable,10,2,20,2,20,0,0
22,2025,A2326,BARAKALDO - UPV/EHU,1,Laborable,146,2,292,1,146,1,146
23,2025,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,160,2,320,0,0,2,320
24,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,1,Laborable,169,1,169,1,169,0,0
25,2025,A3336,BILBAO - MUSKIZ,1,Laborable,169,1,169,1,169,0,0
26,2025,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),1,Laborable,228,2,456,0,0,2,456
27,2025,A3512,BILBAO - LEKEITIO (Autopista),1,Laborable,169,1,169,0,0,1,169
28,2025,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,1,Laborable,228,2,456,0,0,2,456
29,2025,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,1,Laborable,228,1,228,0,0,1,228
30,2025,A3518,BILBAO -MUNGIA - BAKIO (Autopista),1,Laborable,191,3,573,1,191,2,382
31,2025,A3518,BILBAO -MUNGIA - BAKIO (Autopista),2,Laborable,37,4,148,1,37,3,111
32,2025,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,146,1,146,1,146,0,0
33,2025,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,228,9,2052,3,684,6,1368
34,2025,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Lunes a Jueves,136,1,136,1,136,0,0
35,2025,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Viernes,33,1,33,1,33,0,0
36,2025,A3916,BILBAO - ERMUA - ONDARROA (Autopista),1,Laborable,207,1,207,0,0,1,207
37,2025,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Lunes a Jueves,165,2,330,2,330,0,0
38,2025,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Laborable,207,2,414,1,207,1,207
39,2025,A3923,BILBAO - DURANGO - ELORRIO (Autopista),2,Laborable,21,2,42,1,21,1,21
40,2025,A3924,ERMUA - DURANGO - UPV/EHU,1,Laborable,146,5,730,3,438,2,292
41,2025,A3930,BILBAO - GALDAKAO (Autopista),1,Lunes a Jueves,167,1,167,0,0,1,167
42,2025,A3932,GALDAKAO - Metro Bolueta,1,Laborable,228,2,456,2,456,0,0
43,2025,A3933,BILBAO - DURANGO (Autopista),1,Laborable,174,2,348,0,0,2,348
44,2025,A3933,BILBAO - DURANGO (Autopista),1,Viernes,44,1,44,1,44,0,0
45,2025,A3933,BILBAO - DURANGO (Autopista),2,Laborable,12,1,12,0,0,1,12
